URL,İlan No,İlan Tarihi,İlçe,İl,Fiyat,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Çekiş,Araç Durumu,Ort. Yakıt Tüketimi,Yakıt Deposu,Takasa Uygun,Kimden
"https://www.arabam.com/ilan/sahibinden-satilik-suzuki-swift-1-3-glx/sahibinden-suzuki-swift-1-3-glx-2001-model/35307293","35307293",30 Kasım 2025,"Seferihisar","İzmir","175.000 TL","Suzuki","Swift","1.3 GLX","2001","220.000 km","Düz","LPG & Benzin","Sedan","Gri","1298 cc","69 hp","Önden Çekiş","İkinci El","5,9 lt","40 lt",,"Sahibinden"
"https://www.arabam.com/ilan/sahibinden-satilik-fiat-linea-1-3-multijet-pop/sahibinden-fiat-linea-1-3-multijet-pop-2014-model/35320434","35320434",30 Kasım 2025,"Karşıyaka","İzmir","635.000 TL","Fiat","Linea","1.3 Multijet Pop","2014","162.200 km","Düz","Dizel","Sedan","Gri","1248 cc","95 hp","Önden Çekiş","İkinci El","4,9 lt","45 lt",,"Sahibinden"
"https://www.arabam.com/ilan/sahibinden-satilik-peugeot-207-1-4-trendy/sahibinden-peugeot-207-1-4-trendy-2009-model/35320138","35320138",30 Kasım 2025,"Bornova","İzmir","565.000 TL","Peugeot","207","1.4 Trendy","2009","152.000 km","Otomatik","Benzin","Hatchback/5","Kırmızı","1360 cc","91 hp","Önden Çekiş","İkinci El","6,3 lt","50 lt",,"Sahibinden"
"https://www.arabam.com/ilan/sahibinden-satilik-hyundai-atos-1-1-gls/sahibinden-hyundai-atos-1-1-gls-2006-model/27871187","27871187",30 Kasım 2025,"Torbalı","İzmir","360.000 TL","Hyundai","Atos","1.1 GLS","2006","210.000 km","Düz","Benzin","Hatchback/5","Gri","1086 cc","63 hp","Önden Çekiş","İkinci El","5,5 lt","53 lt",,"Sahibinden"
"https://www.arabam.com/ilan/sahibinden-satilik-opel-astra-1-6-expression/sahibinden-opel-astra-1-6-expression-1996-model/35319529","35319529",30 Kasım 2025,"Karabağlar","İzmir","225.000 TL","Opel","Astra","1.6 Expression","1996","320.000 km","Düz","LPG & Benzin","Hatchback/5","Siyah","1598 cc","100 hp","Önden Çekiş","İkinci El",,"52 lt","Takasa Uygun","Sahibinden"
"https://www.arabam.com/ilan/sahibinden-satilik-ford-fiesta-1-5-tdci-titanium-x/sahibinden-ford-fiesta-1-5-tdci-titanium-x-2013-model/35319192","35319192",30 Kasım 2025,"Ödemiş","İzmir","665.000 TL","Ford","Fiesta","1.5 TDCi Titanium X","2013","195.300 km","Düz","Dizel","Hatchback/5","Gri (Gümüş)","1498 cc","75 hp","Önden Çekiş","İkinci El","3,7 lt","42 lt","Takasa Uygun Değil","Sahibinden"
"https://www.arabam.com/ilan/sahibinden-satilik-ford-focus-1-6-tdci-ghia/sahibinden-ford-focus-1-6-tdci-ghia-2007-model/35318644","35318644",30 Kasım 2025,"Çeşme","İzmir","425.000 TL","Ford","Focus","1.6 TDCi Ghia","2007","301.000 km","Düz","Dizel","Hatchback/5","Mavi (metalik)","1560 cc","110 hp","Önden Çekiş","İkinci El","4,8 lt","55 lt",,"Sahibinden"
"https://www.arabam.com/ilan/sahibinden-satilik-fiat-linea-1-3-multijet-active-plus/sahibinden-fiat-linea-1-3-multijet-active-plus-2012-model/35317601","35317601",30 Kasım 2025,"Urla","İzmir","470.000 TL","Fiat","Linea","1.3 Multijet Active Plus","2012","240.000 km","Düz","Dizel","Sedan","Gri (metalik)","1248 cc","95 hp","Önden Çekiş","İkinci El","4,9 lt","45 lt","Takasa Uygun","Sahibinden"
"https://www.arabam.com/ilan/sahibinden-satilik-renault-clio-1-5-dci-sporttourer-icon/sahibinden-renault-clio-1-5-dci-sporttourer-icon-2016-model/35316873","35316873",30 Kasım 2025,"Menemen","İzmir","840.000 TL","Renault","Clio","1.5 dCi SportTourer Icon","2016","176.000 km","Düz","Dizel","Station wagon","Beyaz","1461 cc","90 hp","Önden Çekiş","İkinci El","3,6 lt","45 lt",,"Sahibinden"
"https://www.arabam.com/ilan/sahibinden-satilik-opel-astra-1-6-enjoy/acil-sahibinden-otomatik-opel-astra-1-6-enjoy-2005-model/35317190","35317190",30 Kasım 2025,"Karşıyaka","İzmir","470.000 TL","Opel","Astra","1.6 Enjoy","2005","269.000 km","Yarı Otomatik","LPG & Benzin","Hatchback/5","Altın","1598 cc","105 hp","Önden Çekiş","İkinci El","6,5 lt","52 lt",,"Sahibinden"
